"country","year","greenhouse_gas_per_capita","public_expenditure_health_%gdp","fertiltiy_rate","oop_expenditure_healthcare_per_capita","youth_mortality_rate","burden_of_disease","hdi"
"Yemen",2012,1.64,1.57162782,4.44,143.75217,6.267342,44116.1690216709,0.452
"Zambia",2012,21.79,2.53637046,5.24,53.830441,8.97016,63540.8987342616,0.588
"Zimbabwe",2012,4.9,2.78944514,4,45.966721,8.806348,75899.9455521264,0.535
"Afghanistan",2011,0.61,2.08009266,5.6,101.69474,9.652594,65925.1571465118,0.494
"Albania",2011,3,2.84917086,1.67,275.90204,1.396949,24029.9072679162,0.782
"Algeria",2011,4.68,3.77572931,2.93,190.72842,3.078786,26439.7223702775,0.753
"Angola",2011,1.69,2.15509427,6.08,30.214331,13.253224,60846.32029364,0.577
"Antigua and Barbuda",2011,5.62,3.89103956,2.12,239.29495,1.1481,24839.6373086268,0.778
"Argentina",2011,8.95,3.74539251,2.36,296.63828,1.636525,25758.9993712144,0.822
"Armenia",2011,4.32,1.93890354,1.5,122.73802,1.90658,27229.6322356219,0.749
"Australia",2011,35.17,6.31537828,1.92,722.87494,0.55954,19254.183019521,0.938
"Austria",2011,11,8.21367472,1.44,783.21552,0.509622,19772.1368264086,0.906
"Azerbaijan",2011,5.88,1.08098767,2.01,552.67499,3.8088,37275.0465133121,0.757
"Bahamas",2011,12.89,3.57505624,1.85,497.20309,1.386652,29395.9859718621,0.806
"Bahrain",2011,24.99,2.38353276,2.12,248.76427,1.038196,22748.5255443952,0.846
"Bangladesh",2011,1.17,1.0410901,2.24,47.824863,5.459719,38679.4930811257,0.597
"Belarus",2011,11.5,3.47255765,1.58,218.01216,0.699031,34676.0948902959,0.805
"Belgium",2011,12.45,8.00673738,1.8,761.10547,0.53956,20804.9359151848,0.915
"Belize",2011,4.67,3.72560429,2.68,103.03696,2.173744,30513.0373495024,0.709
"Benin",2011,3.52,2.92900976,5.31,33.575901,13.52828,57182.6436255342,0.512
"Bhutan",2011,4.4,4.14289346,2.31,33.706985,4.893108,33015.2774959121,0.609
"Bolivia",2011,61.62,3.75214169,3.13,88.010178,5.07876,34500.1115010843,0.689
"Bosnia and Herzegovina",2011,7.16,6.92300649,1.31,267.58469,0.799184,24502.2238929102,0.766
"Botswana",2011,39.92,3.23601695,2.88,39.591423,5.583888,56828.7350385365,0.712
"Brazil",2011,14.86,3.65400199,1.79,341.66644,2.074809,29814.5547402463,0.758
"Brunei",2011,36.79,2.06675797,1.86,130.19302,1.28748,26044.529845462,0.852
"Bulgaria",2011,9.93,3.75965585,1.5,497.02829,1.257631,27788.9672851178,0.81
"Burkina Faso",2011,2.71,2.95514785,5.78,25.32519,13.558364,65926.9044771929,0.42
"Burundi",2011,0.68,5.4018773,6.16,18.785091,11.035124,63910.4357619375,0.418
"Cambodia",2011,8.72,1.33985553,2.81,119.1833,4.829175,41462.5407960868,0.576
"Cameroon",2011,4.89,1.33144716,5.05,51.913799,13.360962,63878.7040260743,0.553
"Canada",2011,30.09,7.6767925,1.63,621.19214,0.669384,19220.9610043569,0.922
"Central African Republic",2011,114.67,1.84022614,5.17,15.489708,16.266952,104044.821379249,0.362
"Chad",2011,8.91,1.53487457,6.48,44.340366,17.308324,72557.6097503583,0.405
"Chile",2011,6.86,3.33263924,1.86,477.46918,1.00864,22404.2504030298,0.842
"China",2011,8.98,2.81065265,1.59,176.59166,1.735912,24488.9847471842,0.748
"Colombia",2011,3.67,5.0161647,1.98,119.22614,2.12406,23039.6589620711,0.747
"Comoros",2011,0.78,1.65675934,4.82,94.344444,9.040532,43367.7717794155,0.502
"Congo",2011,7.87,1.97737526,4.92,40.691574,7.269934,60014.2657852351,0.612
"Costa Rica",2011,2.61,7.14971401,1.89,281.34396,1.178119,20707.3351748303,0.791
"Cote d'Ivoire",2011,1.58,1.63569697,5.18,91.401054,13.286596,66266.0990645469,0.486
"Croatia",2011,7.11,6.25541215,1.48,194.36879,0.649364,23455.78082554,0.828
"Cyprus",2011,6.8,3.50763508,1.41,948.82288,0.459615,19401.50621176,0.867
"Czechia",2011,13.78,6.31473247,1.48,302.07526,0.439637,22766.9268164088,0.885
"Democratic Republic of Congo",2011,12,1.25526855,6.42,8.5380077,13.926974,69218.242591342,0.452
"Denmark",2011,10.49,9.26885262,1.76,657.16602,0.479713,20232.6437693981,0.928
"Djibouti",2011,3.12,5.01968371,3.21,31.058912,7.680656,46339.6551552965,0.474
"Dominican Republic",2011,3.25,2.60438608,2.57,272.51755,3.737796,30899.2261175706,0.733
"Ecuador",2011,3.4,2.59738099,2.63,347.46899,2.12335,28034.3199021078,0.749
"Egypt",2011,3.36,1.99080414,3.25,272.27191,3.295266,38355.1615982487,0.694
"El Salvador",2011,1.99,4.32790334,2.22,162.12619,2.271904,30203.4318074736,0.679
"Eritrea",2011,1.1,1.40782257,4.53,24.957001,6.711796,67698.6629124971,0.436
"Estonia",2011,18.37,4.62588548,1.63,308.10242,0.579328,25588.9436057776,0.868
"Eswatini",2011,2.8,5.97112593,3.44,65.632988,9.315808,103934.986525644,0.586
"Ethiopia",2011,2.04,3.73515573,4.8,24.183399,9.872096,50609.9411227171,0.457
"Fiji",2011,2.55,2.6771442,2.64,64.546074,2.90752,41425.4283710803,0.738
"Finland",2011,14.13,6.75355116,1.83,704.68762,0.38971,20811.5458498748,0.918
"France",2011,7.69,8.73113595,1.99,303.0271,0.509622,18908.7538213641,0.899
"Gabon",2011,20.23,2.10328795,4.05,112.7317,7.706572,53240.5691384628,0.698
"Gambia",2011,2.01,3.73512102,5.68,20.102707,9.24754,51630.0933953692,0.457
"Georgia",2011,3.78,1.70062438,1.95,431.01105,1.815815,29777.4591681667,0.776
"Germany",2011,11.58,8.3076223,1.41,637.01086,0.499631,19759.1955269412,0.934
"Ghana",2011,4.26,3.57552049,4.23,81.712181,8.240095,53843.2008639282,0.588
"Greece",2011,9.46,6.6828024,1.39,734.09869,0.499571,19927.4120674714,0.868
"Grenada",2011,6.72,3.04019063,2.22,359.07919,1.726058,28015.8595479454,0.77
"Guatemala",2011,2.07,2.15314798,3.29,239.25275,3.825337,33384.5264593258,0.649
"Guinea",2011,9.14,1.97715897,5.26,36.952301,12.863587,67575.2845081236,0.449
"Guinea-Bissau",2011,4.74,1.04697493,4.99,34.119293,12.701698,71979.6736170961,0.453
"Guyana",2011,8.07,4.57147769,2.63,126.0274,4.142336,41148.3597682331,0.652
"Haiti",2011,0.86,1.80632117,3.25,41.696999,9.549428,58129.1993921764,0.496
"Honduras",2011,2.4,3.91684188,2.78,162.90517,2.787969,30677.7721127471,0.614
"Hungary",2011,6.46,5.02988706,1.33,485.45956,0.719233,26749.5054307363,0.835
"Iceland",2011,17.34,6.97224335,2.04,613.47742,0.349766,17698.3580189143,0.933
"India",2011,2.27,1.17537664,2.53,93.646523,6.332995,44310.622275561,0.636
"Indonesia",2011,3.11,1.02891405,2.47,162.59245,3.770602,35677.4963689284,0.691
"Iraq",2011,4.77,2.49103317,4.56,93.043449,4.19768,31979.6673499993,0.672
"Ireland",2011,13.38,5.52604346,2,545.93359,0.499631,19768.6954206662,0.934
"Israel",2011,10.52,4.61852466,3.01,519.23651,0.549516,18432.6019211538,0.902
"Italy",2011,8.13,6.96918518,1.43,707.48236,0.479649,18012.2437768549,0.878
"Jamaica",2011,5.32,2.79522281,2.14,138.92371,2.124358,26809.8115534077,0.732
"Japan",2011,10.93,8.31824984,1.39,495.77042,0.429694,17364.1199690637,0.907
"Jordan",2011,3.49,5.90586213,3.64,160.63077,2.50057,25448.2910450237,0.735
"Kazakhstan",2011,21.17,2.27155274,2.7,219.97972,2.183412,38084.0170725645,0.797
"Kenya",2011,1.26,2.62353341,4.27,48.209824,6.743566,54135.510215471,0.585
"Kuwait",2011,30.33,2.25568332,2.15,253.25185,1.257712,19776.3546326872,0.804
"Kyrgyzstan",2011,2.51,3.70108957,3.04,90.510178,3.091104,35315.8043508836,0.669
"Laos",2011,25.49,0.83580961,3.06,47.09639,9.33791,49052.0859687834,0.598
"Latvia",2011,6.87,3.87340142,1.51,375.16586,0.938467,29166.0196236264,0.844
"Lesotho",2011,1.67,9.08743587,3.28,42.178406,11.084208,99030.0262397549,0.516
"Liberia",2011,0.69,3.92711577,4.94,23.937355,11.24386,57958.6564890165,0.432
"Libya",2011,12.93,3.02,2.4,230.01372,2.339616,72147.3057952458,0.693
"Lithuania",2011,9.68,4.73913687,1.54,415.37857,0.758845,29562.0720762509,0.855
"Luxembourg",2011,24.94,6.26066183,1.57,619.63916,0.349826,19772.1320977436,0.904
"Madagascar",2011,5.41,2.43587228,4.52,20.198168,7.327303,56620.1293022518,0.517
"Malawi",2011,1.38,6.93370255,5.15,7.0593758,9.813716,72347.7864683288,0.474
"Malaysia",2011,9.49,2.13591373,2.13,259.77426,1.0081,25338.3534283565,0.799
"Mali",2011,4.96,1.68155275,6.47,51.649357,15.408417,65068.5339971128,0.421
"Mauritania",2011,3.54,1.27914138,4.94,63.760715,10.6403,40438.934920088,0.516
"Mexico",2011,5.48,3.0671313,2.32,390.96729,1.955296,26474.572880045,0.772
"Moldova",2011,3.21,5.31153991,1.27,204.24236,1.97524,34404.1545036359,0.697
"Morocco",2011,2.39,2.08777206,2.58,213.96539,3.438066,34605.4913152262,0.662
"Mozambique",2011,15.24,2.66457773,5.52,3.9377611,11.47456,83680.1350932142,0.435
"Namibia",2011,17.09,5.31576441,3.6,88.34594,6.480964,58897.1113210355,0.645
"Nepal",2011,1.21,3.24209748,2.49,60.217018,5.177296,38528.8688790279,0.569
"Netherlands",2011,11.99,9.08585792,1.76,482.71426,0.519613,19319.6480008588,0.928
"New Zealand",2011,17.3,9.34287708,2.1,391.26364,0.729268,21599.2842620302,0.915
"Nicaragua",2011,2.77,4.08197431,2.38,118.66244,2.590496,24580.5791748433,0.657
"Niger",2011,0.66,2.45324522,7.46,30.771547,15.695724,62783.5210745304,0.351
